"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"IQGAP1",3.33770118898127e-66,0.307514412105733,0.615,0.636,1.11535960632187e-61
"FBXL5",1.02491606994247e-64,0.430505613999624,0.405,0.38,3.42496203092674e-60
"PPP1R18",6.81458006423386e-64,0.358544202388231,0.546,0.559,2.27722822006503e-59
"LILRB3",1.6047458394028e-62,0.460067543666418,0.302,0.262,5.36257917153235e-58
"COTL1",2.54031253816147e-62,0.292588708768543,0.541,0.528,8.48896240877418e-58
"PECAM1",7.28276863535272e-62,0.49389057113286,0.323,0.288,2.43368279487582e-57
"SLC11A1",7.40310963633085e-62,0.48415586874014,0.347,0.315,2.47389714717268e-57
"ALPK1",1.95012272196201e-61,0.498415032334937,0.161,0.114,6.51672509998046e-57
"TMEM71",2.8120720172859e-61,0.501687296501549,0.204,0.158,9.39710106016428e-57
"CDA",7.05407208122608e-61,0.493712071840714,0.266,0.22,2.35725926738332e-56
"BTG1",1.16821322229374e-60,0.277991361653475,0.582,0.594,3.90381812493899e-56
"PBXIP1",1.26376052320989e-60,0.396280633021011,0.163,0.114,4.22310854041048e-56
"IKBIP",2.13382937108861e-60,0.421081447487515,0.105,0.063,7.13061760936682e-56
"PREX1",2.18544406153167e-60,0.437250598112544,0.413,0.4,7.30309842042038e-56
"TOPORS",5.65545811855673e-59,0.435253469348175,0.123,0.079,1.8898844394781e-54
"IGSF6",1.81266085900228e-57,0.384504534781936,0.395,0.366,6.05736879252792e-53
"MED25",3.33044405134445e-56,0.492206614134473,0.142,0.1,1.11293448863778e-51
"HSD17B11",4.56192561773288e-56,0.477197608060609,0.286,0.25,1.52445868367779e-51
"SRPK2",5.90076845822805e-56,0.452629204075863,0.209,0.162,1.97185979568607e-51
"MAST3",6.48864605279433e-56,0.435563792648571,0.152,0.107,2.16831085146228e-51
"SMIM27",4.66957684887509e-55,0.405362352417683,0.108,0.068,1.56043249558859e-50
"PTAFR",6.27621703907399e-55,0.490761451932662,0.323,0.293,2.09732344794735e-50
"APBB1IP",5.90650787530783e-54,0.368011375665778,0.451,0.442,1.97377773669162e-49
"TMCC1",1.0577784792165e-53,0.521033535407383,0.129,0.088,3.53477834399777e-49
"FRY",1.05853547505261e-53,0.434465933605744,0.107,0.068,3.53730799698331e-49
"RICTOR",1.27788345592147e-53,0.475709332371068,0.224,0.181,4.27030314465276e-49
